word|definition|sentence|lesson
circumspect|careful to consider potential consequences and avoid risk|I am practical and _____; he is impulsive and direct.|57
clandestine|secret|Announcing to her boyfriend that she was going to the gym, Sophie actually went to meet Joseph for a _____ liaison.|57
clemency|mercy|After he forgot their anniversary, Martin could only beg Maria for _____.|57
clergy|members of Christian holy orders|Though the villagers viewed the church rectory as quaint and charming, the _____ who lived there regarded it as a mildewy and dusty place that aggravated their allergies.|58
cobbler|a person who makes or repairs shoes|I had my neighborhood _____ replace my worn-out leather soles with new ones.|58
collusion|secret agreement, conspiracy|The three law students worked in _____ to steal the final exam.|58
complacency|self-satisfied ignorance of danger|Colin tried to shock his friends out of their _____ by painting a frightening picture of what might happen to them.|58
complicit|being an accomplice in a wrongful act|By keeping her daughter's affair a secret, Maddie became _____ in it.|58
concoct|to fabricate, make up|She had to _____ the most ridiculous story to explain her absence.|58
concord|harmonious agreement|Julie and Harold began the evening with a disagreement, but ended it in a state of perfect _____.|58
condolence|an expression of sympathy in sorrow|Brian lamely offered his expressions of _____ on the loss of his sister's roommate's cat.|58
conduit|a pipe or channel through which something passes|The water flowed through the _____ into the container.|58
confection|a sweet, fancy food|We went to the mall food court and purchased a delicious _____.|58
confidant|a person entrusted with secrets|Shortly after we met, she became my chief _____.|59
conformist|one who behaves the same as others|Julian was such a _____ that he had to wait and see if his friends would do something before he would commit.|59
confound|to frustrate, confuse|MacGuyver was able to _____ the policemen pursuing him by covering his tracks.|59
congregation|a gathering of people, especially for religious services|The priest told the _____ that he would be retiring.|59
connive|to plot, scheme|She decided to _____ to get me to give up my vacation plans.|59
consecrate|to dedicate something to a holy purpose|Arvin decided to _____ his spare bedroom as a shrine to Christina.|59
consign|commit forever|The Chinese government canceled his passport, choosing to _____ him to exile.|59
constituent|an essential part|The most important _____ of her perfume is something called ambergris.|59
convoluted|intricate, complicated|Grace's story was so _____ that I couldn't follow it.|59
coronation|the act of crowning|The new king's _____ occurred the day after his father's death.|59
corrosive|having the tendency to erode or eat away|The effect of the chemical was highly _____.|60
cosmopolitan|sophisticated, worldly|Lloyd's education and upbringing were _____, so he felt right at home among the powerful and learned.|60
coup|a brilliant, unexpected act|Alexander pulled off an amazing _____ when he got a date with Cynthia by purposely getting hit by her car.|60
coup|the overthrow of a government and assumption of authority|In their _____ attempt, the army officers stormed the Parliament and took all the legislators hostage.|60
culpable|deserving blame|He was _____ of the crime, and was sentenced to perform community service for 75 years.|60
dearth|an insufficient quantity or number|The shortages are not limited to food: A _____ of disposable spoons, forks and knives has forced some schools to begin conserving flatware.|60
decry|to criticize openly|The kind video rental clerk chose to _____ the policy of charging customers late fees.|60
defamatory|harmful toward another's reputation|The _____ gossip spreading about the actor made the public less willing to see the actor's new movie.|60
deferential|showing respect for another's authority|His _____ attitude toward her made her more confident in her ability to run the company.|60
demure|suggestive of modesty or reserve|Mrs. Odom, who usually dressed in _____ long dresses and straw hats, had on a pair of men’s overalls and an old plaid work shirt.|60
denigrate|to belittle, diminish the opinion of|The company decided that its advertisements would no longer _____ the company's competitors.|61
derelict|abandoned, run-down|Even though it was dangerous, the children enjoyed going to the deserted lot and playing in the _____ house.|61
derivative|taken directly from a source, unoriginal|She was bored by his music because she felt that it was _____ and that she had heard it before.|61
desecrate|to violate the sacredness of a thing or place|They feared that the construction of a golf course would _____ the preserved wilderness.|61
despot|one who has total power and rules brutally|The _____ issued a death sentence for anyone who disobeyed his laws.|61
didactic|instructive, especially excessively|But, she adds, “I don’t believe in being _____. I’m not trying to teach anybody any lessons.”|61
didactic|overly moralistic|His _____ style of teaching made it seem like he wanted to persuade his students not to understand history fully, but to understand it from only one point of view.|61
disaffected|rebellious, resentful of authority|Dismayed by Bobby's poor behavior, the parents sent their _____ son to a military academy to be disciplined.|61
disavow|to deny knowledge of or responsibility for|Not wanting others to criticize her, she chose to _____ any involvement in the company's hiring scandal.|61
discomfit|to thwart, baffle|The normally cheery and playful children's sudden misery was able to _____ the teacher.|61
disparage|express a negative opinion of|Classrooms, hallways, courtyard, lunchroom—everywhere I went I heard people _____ her, mock her, and slur her.|62
disrepute|a state of being held in low regard|The officer fell into _____ after it was learned that he had disobeyed the orders he had given to his own soldiers.|62
disseminate|cause to become widely known|And with the steady advances in telecommunications, they would soon be able to _____ their own digital content in so many new ways to so many more people.|62
dissonance|lack of harmony or consistency|Though the president of the company often spoke of the company as reliant solely upon its workers, her decision to increase her own salary rather than reward her employees revealed a striking _____ between her alleged beliefs and her actions.|62
distend|to swell out|Years of drinking beer caused his stomach to _____.|62
dogmatic|pertaining to a code of beliefs accepted as authoritative|Campaigners on both sides of the debate have become more, not less, _____.|62
dour|stern, joyless|The children feared their _____ neighbor because the old man would take their toys if he believed they were being too loud.|62
duplicity|the act of deceiving or acting in bad faith|Dragons, if you must know, are wicked creatures—full of violence and _____ and deceit.|62
eclectic|consisting of a diverse variety of elements|That bar attracts an _____ crowd: lawyers, artists, circus clowns, and investment bankers.|62
edict|a legally binding command or decision|The king issued a royal _____ ordering the dissolution of parliament, effective Sunday.|62
egregious|conspicuously and outrageously bad or reprehensible|He called the practice an “immoral and _____” breach of trust.|63
elicit|call forth, as an emotion, feeling, or response|I would like to believe that the primary objective of a cartoon is to _____ a chuckle or possibly an out-and-out laugh.|63
embezzle|to steal money by falsifying records|The accountant was fired for trying to _____ $10,000 of the company's funds.|63
emote|to express emotion|The director told the actor he had to _____, or else the audience would have no idea what his character was going through.|63
empirical|derived from experiment and observation rather than theory|An idealized view of science is that theories are accepted or rejected based solely on _____ evidence.|63
enmity|a state of deep-seated ill-will|Chess, he pronounced, is “a waste of time and money and a cause for hatred and _____ between players.”|63
enthrall|to charm, hold spellbound|The sailor's stories of fighting off sharks and finding ancient treasures were able to _____ his young son.|63
epitome|a perfect example, embodiment|My mother, the _____ of good taste, always dresses more elegantly than I do.|63
espouse|to take up as a cause, support|I love animals so much that I _____ animal rights.|63
excavate|to dig out of the ground and remove|Archeologists had to _____ the ground in Egypt to find the pharaoh's treasures.|63
exonerate|to free from guilt or blame, exculpate|The true thief's confession was able to _____ the man who had been held in custody for the crime.|64
exorbitant|excessive|Her _____ praise made me blush and squirm in my seat.|64
extraneous|not essential|He knew he couldn't tell stories, that he always included _____ details and tangents that interested only him.|64
extricate|to disentangle|Instead of trying to mediate between my brother and sister, I chose to _____ myself from the family tension entirely and left the house for the day.|64
facile|easy, requiring little effort|This game is so _____ that even a four-year-old can master it.|64
facile|superficial, achieved with minimal thought or care, insincere|The business was in such shambles that any solution seemed _____ at best; nothing could really help it in the long-run.|64
fallacious|incorrect, misleading|Emily offered me cigarettes on the _____ assumption that I smoked.|64
fastidious|giving careful attention to detail|Both, for example, were _____, very attentive to hygiene and the condition of their fingernails.|64
felicitous|well suited, apt|While his comments were idiotic and rambling, mine were _____ and helpful.|64
felicitous|delightful, pleasing|I spent a _____ afternoon visiting old friends.|64
fetid|having a foul odor|I can tell from the _____ smell in your refrigerator that your milk has spoiled.|65
fetter|to chain, restrain|The owner decided to _____ the dog to the parking meter.|65
flabbergasted|astounded|Whenever I read an Agatha Christie mystery novel, I am always _____ when I learn the identity of the murderer.|65
flagrant|conspicuously and outrageously bad or reprehensible|“Their alleged scheme has been disrupted and they will have to answer for their _____ violations of law,” Ms. Strauss said.|65
flout|to disregard or disobey openly|I chose to _____ the school's dress code by wearing a tie-dyed tank top and a pair of cut-off jeans.|65
forage|to graze, rummage for food|When we got lost on our hiking trip, we decided to _____ for berries and nuts in order to survive.|65
forestall|to prevent, thwart, delay|I managed to _____ the cold I was getting by taking plenty of vitamin C pills and wearing a scarf.|65
gluttony|overindulgence in food or drink|Ada's fried chicken tastes so divine, I don't know how anyone can call _____ a sin.|65
goad|provoke as by constant criticism|Every day she would _____ Fyrian into making atrocious choices or play tricks on the poor dragon, making him cry.|65
grandiose|on a magnificent or exaggerated scale|Margaret planned a _____ party, replete with elephants, trapeze artists, and clowns.|65
guile|shrewdness as demonstrated by being skilled in deception|There was no hiding here, though, and because there was no _____ in him, everything he felt showed on his face.|66
hapless|unlucky|My poor, _____ family never seems to pick a sunny week to go on vacation.|66
harangue|a ranting speech|Everyone had heard the teacher's _____ about gum chewing in class before.|66
harangue|to give such a speech|But this time the teacher decided to _____ the class about the importance of brushing your teeth after chewing gum.|66
hiatus|an interruption in the intensity or amount of something|She continued her concert career for a few years, but in 1958 she took a _____ from performing to be with her family.|66
ignominious|deserving or bringing disgrace or shame|His son's flight in disguise, the hiding in the oak-tree, and other circumstances of his escape are no longer _____ or laughable, but graceful and glorious.|66
immutable|not changeable|The laws of physics are _____ and constant.|66
implacable|incapable of being appeased or pacified|Her _____ anger followed them and their children too.|66
inane|silly and meaningless|Some films are so _____ that the psychology of the characters makes absolutely no sense.|66
inarticulate|incapable of expressing oneself clearly through speech|Though he spoke for over an hour, the lecturer was completely _____ and the students had no idea what he was talking about.|66
incarnate|existing in the flesh, embodied|In the church pageant, I play the role of greed _____.|67
incarnate|to give human form to|The alien evaded detection by choosing to _____ himself in a human form.|67
incendiary|a person who agitates|If we catch the _____ who screamed "bomb" in the middle of the soccer match, we're going to put him in jail.|67
incisive|clear, sharp, direct|The discussion wasn't going anywhere until her _____ comment allowed everyone to see what the true issues were.|67
incontrovertible|indisputable|Only stubborn Tina would attempt to disprove the _____ laws of physics.|67
incorrigible|incapable of correction, delinquent|You can buy Grandma nicotine gum all you want, but I think that after sixty-five years of smoking she's _____.|67
increment|an enlargement; the process of increasing|The workmen made the wall longer, _____ by _____.|67
indigent|very poor, impoverished|I would rather donate money to help the _____ population than to the park sculpture fund.|67
indolent|disinclined to work or exertion|He was perfectly able to look for work himself, but was too _____ to make the effort.|67
inexorable|incapable of being persuaded or placated|Although I begged for hours, Mom was _____ and refused to let me stay out all night after the prom.|67
infamy|notoriety, extreme ill repute|The _____ of his crime will not lessen as the decades pass.|68
infusion|an injection of one substance into another; the permeation of one substance by another|The _____ of Eastern religion into Western philosophy created interesting new schools of thought.|68
ingenuous|not devious; innocent and candid|He must have writers, but his speeches seem so _____ it's hard to believe he's not speaking from his own heart.|68
injunction|an order of official warning|After his house was toilet-papered for the fifth time, the mayor issued an _____ against anyone younger than 21 buying toilet paper.|68
innuendo|an insinuation|During the debate, the politician resorted to a subtle _____ about the sexual activities of his opponent.|68
inoculate|to introduce a microorganism, serum, or vaccine into an organism in order to increase immunity to illness; to vaccinate|I've feared needles ever since I had to _____ against 37 diseases at age one; but I have also never been sick.|68
insatiable|incapable of being satisfied|My _____ appetite for melons can be a real problem in the winter.|68
insurgent|one who rebels|The _____ snuck into and defaced a different classroom each night until the administration agreed to meet his demands.|68
intimation|an indirect suggestion|Mr. Brinford's _____ that he would soon pass away occurred when he began to discuss how to distribute his belongings among his children.|68
intractable|difficult to manipulate, unmanageable|There was no end in sight to the _____ conflict between the warring countries.|68
inure|to cause someone or something to become accustomed to a situation|Twenty years in the salt mines were able to _____ the man to the discomforts of dirt and grime.|69
invective|abusive language used to express blame or censure|It takes intelligence and character to listen to the other side and use facts and logic rather than hatred and _____.|69
inveterate|stubbornly established by habit|I'm the first to admit that I'm an _____ coffee drinker—I drink four cups a day.|69
irascible|quickly aroused to anger|We are cooped up with no end in sight, getting increasingly _____.|69
irreverence|disrespect|The _____ displayed by the band that marched through the chapel disturbed many churchgoers.|69
juxtaposition|the act of placing two things next to each other for implicit comparison|The interior designer admired my _____ of the yellow couch and green table.|69
kudos|praise for an achievement|After the performance, the reviewers gave the opera singer _____ for a job well done.|69
licentious|displaying a lack of moral or legal restraints|Marilee has always been fascinated by the _____ private lives of politicians.|69
lithe|graceful, flexible, supple|Although the dancers were all outstanding, Jae Sun's control of her _____ body was particularly impressive.|69
lurid|glaringly vivid and graphic; marked by sensationalism|I felt it, too: the dread, the weight of the horrors we’d seen, which replayed themselves in an endless, _____ loop in my mind.|69
manifold|diverse, varied|The popularity of Dante's Inferno is partly due to the fact that the work allows for _____ interpretations.|70
mendacious|having a lying, false character|The _____ content of the tabloid magazines is at least entertaining.|70
mercurial|characterized by rapid change or temperamentality|Though he was widely respected for his mathematical proofs, the _____ genius was impossible to live with.|70
modicum|a small amount of something|Refusing to display even a _____ of sensitivity, Henrietta announced her boss's affair in front of the entire office.|70
modulate|to pass from one state to another, especially in music|The composer wrote a piece that was designed to _____ between minor and major keys.|70
morass|a wet swampy bog; figuratively, something that traps and confuses|When Theresa lost her job, she could not get out of her financial _____.|70
morose|showing a brooding ill humor|He felt deeply responsible for Eric, who could be cheerfully upbeat but could also grow _____ and withdrawn and sometimes would sink into deep funks, not talking for days.|70
mutable|able to change|Because fashion is so _____, what is trendy today will look outdated in five years.|70
nadir|the lowest point of something|My day was boring, but the _____ came when I accidentally spilled a bowl of spaghetti on my head.|70
nebulous|lacking definition or definite content|“It’s still very vague and _____,” Paul said.|70
neophyte|someone who is young or inexperienced|As a _____ in the literary world, Malik had trouble finding a publisher for his first novel.|71
obdurate|unyielding to persuasion or moral influences|The _____ old man refused to take pity on the kittens.|71
oration|a speech delivered in a formal or ceremonious manner|The prime minister was visibly shaken when the unruly parliament interrupted his _____ about failed domestic policies.|71
oscillate|to sway from one side to the other|My uncle would _____ between buying a station wagon to transport his family and buying a sports car to satisfy his boyhood fantasies.|71
ostracism|exclusion from a group|Beth risked _____ if her roommates discovered her flatulence.|71
palliate|to reduce the severity of|The doctor trusted that the new medication would _____ her patient's discomfort.|71
paragon|a model of excellence or perfection|The mythical Helen of Troy was considered a _____ of female beauty.|71
pariah|an outcast|Following the discovery of his plagiarism, Professor Hurley was made a _____ in all academic circles.|71
parsimony|frugality, stinginess|Many relatives believed that my aunt’s wealth resulted from her _____.|71
pathology|a deviation from the normal|Dr. Hastings had difficulty identifying the precise nature of Brian’s _____.|71
paucity|small in quantity|Gilbert lamented the _____ of twentieth-century literature courses available at the college.|72
pejorative|derogatory, uncomplimentary|The evening’s headline news covered an international scandal caused by a _____ statement the famous senator had made in reference to a foreign leader.|72
perfidious|disloyal, unfaithful|After the official was caught selling government secrets to enemy agents, he was executed for his _____ ways.|72
perusal|a careful examination, review|The actor agreed to accept the role after a two-month _____ of the movie script.|72
petulance|rudeness, irritability|The Nanny resigned after she could no longer tolerate the child’s _____.|72
philanthropic|charitable, giving|Many people felt that the billionaire’s decision to donate her fortune to house the homeless was the ultimate _____ act.|72
phlegmatic|uninterested, unresponsive|Monique feared her dog was ill after the animal’s _____ response to his favorite chew toy.|72
pillage|to seize or plunder, especially in war|Invading enemy soldiers decided to _____ the homes scattered along the country’s border.|72
plaudits|enthusiastic approval, applause|The controversial new film received _____ from even the harshest critics.|72
polemic|an aggressive argument against a specific opinion|My brother launched into a _____ against my arguments that capitalism was an unjust economic system.|72
portent|an omen|When a black cat crossed my sister’s path while she was walking to school, she took it as a _____ that she would do badly on her spelling test.|73
potable|suitable for drinking|During sea voyages it is essential that ships carry a supply of _____ water because salty ocean water makes anyone who drinks it sick.|73
precipice|the face of a cliff, a steep or overhanging place|The mountain climber hung from a _____ before finding a handhold and pulling himself up.|73
predilection|a strong liking|A new four- or five-course menu is specially designed for each group, depending on the ingredients available and the unique _____ of each diner.|73
preponderance|superiority in importance or quantity|Britain’s _____ of naval might secured the nation’s role as a military power.|73
presage|an omen|When my uncle’s old war injury ached, he interpreted it as a _____ of bad weather approaching.|73
primeval|original, ancient|The first primates to walk on two legs, called Australopithecus, were the _____ descendants of modern man.|73
privation|lacking basic necessities|After decades of rule by an oppressive government that saw nothing wrong with stealing from its citizens, the recent drought only increased the people’s _____.|73
profane|grossly irreverent toward what is held to be sacred|On this scroll it says that Sir Charles Baskerville had an ancestor called Sir Hugo Baskerville, who was a wild, _____ and godless man.|73
promulgate|to proclaim, make known|The film professor decided to _____ that both in terms of sex appeal and political intrigue, Sean Connery’s James Bond was superior to Roger Moore’s.|73
propensity|a natural inclination|It’s a boldly experimental play about the beauty of the everyday, and human beings’ tragic _____ to look right past that.|74
proscribe|to condemn, outlaw|The town council voted to _____ the sale of alcohol on weekends.|74
puerile|juvenile, immature|The judge demanded order after the lawyer’s _____ attempt to object by stomping his feet on the courtroom floor.|74
pugnacious|ready and able to resort to force or violence|The humming-bird is of an extremely _____ disposition, and will not hesitate to attack birds considerably larger than itself.|74
putrid|rotten, foul|Those rotten eggs smell _____.|74
quagmire|a difficult situation|We’d all like to avoid the kind of military _____ characterized by the Vietnam War.|74
querulous|whiny, complaining|If deprived of his pacifier, young Brendan becomes _____.|74
rail|to scold, protest|The professor chose to _____ against the injustice of the college’s tenure policy.|74
rancid|having a terrible taste or smell|Rob was double-dog-dared to eat the _____ egg salad sandwich.|74
rancor|a feeling of deep and bitter anger and ill-will|Instead, he opened his arms and the two men said goodbye in a tight knot, free at last of the hatred and _____ that had poisoned their lives for so many years.|74
recapitulate|to sum up, repeat|Before the final exam, the teacher decided to _____ the semester’s material.|75
redoubtable|formidable; commanding respect|The fortress looked _____ set against a stormy sky. The audience greeted the _____ speaker with a standing ovation.|75
regurgitate|to vomit; to throw back exactly|Feeling sick, Chuck had to _____ his dinner. Margaret rushed through the test, choosing to _____ all of the facts she’d memorized an hour earlier.|75
relegate|assign to a lower position|The league decided to _____ two counties from Division One and promote two from Division Two.|75
renown|honor, acclaim|The young writer earned international _____ by winning the Pulitzer Prize.|75
replete|full, abundant|The unedited version was _____ with naughty words.|75
reprobate|evil, unprincipled|The _____ criminal sat sneering in the cell.|75
reprove|to scold, rebuke|Lara decided to _____ her son for sticking each and every one of his fingers into the strawberry pie.|75
requisition|a demand for goods, usually made by an authority|During the war, the government made a _____ of supplies.|75
resplendent|shiny, glowing|The partygoers were _____ in diamonds and fancy dress.|75
restive|resistant, stubborn, impatient|The _____ audience pelted the band with mud and yelled nasty comments.|76
ribald|coarsely, crudely humorous|While some giggled at the _____ joke involving a parson’s daughter, most sighed and rolled their eyes.|76
salve|a soothing balm|After Tony applied a _____ to his brilliant red sunburn, he soon felt a little better.|76
sanctimonious|giving a hypocritical appearance of piety|The _____ Bertrand delivered stern lectures on the Ten Commandments to anyone who would listen, but thought nothing of stealing cars to make some cash on the side.|76
satiate|fill to satisfaction|They believe in a desire to _____ their greed by controlling and owning everything.|76
scathing|sharp, critical, hurtful|Two hours after breaking up with Russell, Suzanne thought of the perfect _____ retort to his accusations.|76
scintillating|brilliantly clever|I’m planning on heading back to the classroom for more _____ lessons from the history teacher.|76
scurrilous|vulgar, coarse|When Bruno heard the _____ accusation being made about him, he could not believe it because he always tried to be nice to everyone.|76
seminal|original, important, creating a field|Stephen Greenblatt’s essays on Shakespeare proved to be _____, because they initiated the critical school of New Historicism.|76
serendipity|luck, finding good things without looking for them|In an amazing bit of _____, penniless Paula found a $20 bill in the subway station.|76
sinuous|lithe, serpentine|With the _____ movements of her arms, the dancer mimicked the motion of a snake.|77
soluble|able to dissolve|The plot of the spy film revolved around an untraceable and water-_____ poison.|77
somnolent|sleepy, drowsy|The _____ student kept falling asleep and waking up with a jerk.|77
sophomoric|immature, uninformed|The mature senior rolled her eyes at the _____ gross-out humor of the underclassman.|77
stolid|having or revealing little emotion or sensibility|Western ambassadors found him to be polite, _____ and rather dull.|77
surfeit|an overabundant supply or indulgence|After partaking of the _____ of tacos and tamales at the All-You-Can-Eat Taco Tamale Lunch Special, Beth felt rather sick.|77
sycophant|one who flatters for self-gain|Some see each advisor in the cabinet not as a true counselor, but as a mere _____ seeking personal gain.|77
toady|one who flatters in the hope of gaining favors|The other kids referred to the teacher’s pet as the Tenth Grade _____.|77
torpid|lethargic, dormant, lacking motion|The _____ whale floated, wallowing in the water for hours.|77
transmute|to change or alter in form|Ancient alchemists believed that it was possible to _____ lead into gold.|77
trenchant|effective, articulate, clear-cut|The directions that accompanied my new cell phone were _____ and easy to follow.|78
truculent|ready to fight, cruel|This club doesn’t really attract the dangerous types, so why was that bouncer being so _____?|78
truncate|to shorten by cutting off|After winning the derby, the jockey decided to _____ the long speech he had planned and thanked only his mom and his horse.|78
turpitude|depravity, moral corruption|Sir Marcus’s chivalry often contrasted with the _____ he exhibited with the ladies at the tavern.|78
unctuous|smooth or greasy in texture, appearance, manner|The _____ receptionist seemed untrustworthy, as if she was only being helpful because she thought we might give her a big tip.|78
utilitarian|relating to or aiming at usefulness|The beautiful, fragile vase couldn’t hold flowers or serve any other _____ purpose.|78
verdant|green in tint or color|The _____ leaves on the trees made the world look emerald.|78
vex|disturb, especially by minor irritations|I tried not to _____ or trouble him further, but he never gave me the attention I desired.|78
virtuoso|one who excels in an art; a highly skilled musical performer|Even though Lydia has studied piano for many years, she’s only average at it. She’s no _____, that’s for sure.|78
viscous|having a relatively high resistance to flow|The clay was shoveled into one of the pits and water mixed in to form a thick _____ mud.|78
vitriolic|having a caustic quality|When angry, the woman would spew _____ insults.|79
vituperate|to berate|Jack ran away as soon as his father found out, knowing his father would _____ him for his unseemly behavior.|79
wizened|dry, shrunken, wrinkled|Agatha’s grandmother, Stephanie, had the most _____ countenance, full of leathery wrinkles.|79
yoke|to join, link|We decided to _____ together the logs by tying a string around them.|79
zephyr|a gentle breeze|If not for a gentle _____ that was blowing and cooling us, our room would’ve been unbearably hot.|79
abase|to humiliate, degrade|After being overthrown, the deposed leader had to _____ himself and offer to bow down to his conqueror.|79
abdicate|to give up a position, usually one of leadership|When he realized that the revolutionaries would surely win, the king decided to _____ his throne.|79
aberration|something that differs from the norm|In 1918, the Boston Red Sox won the World Series, but the success turned out to be an _____, and the Red Sox have not won a World Series since.|79
abet|to aid, help, encourage|The spy succeeded only because he had a friend on the inside to _____ him.|79
abject|most unfortunate or miserable|His misery is so much more _____ than mine.|79
abjure|to reject, renounce|To prove his honesty, the President decided to _____ the evil policies of his wicked predecessor.|80
abnegation|denial of comfort to oneself|The holy man slept on the floor, took only cold showers, and generally followed other practices of _____.|80
abrogate|to abolish, usually by authority|The Bill of Rights assures that the government cannot _____ our right to a free press.|80
abscond|to sneak away and hide|In the confusion, the super-spy managed to _____ into the night with the secret plans.|80
absolution|freedom from blame, guilt, sin|Once all the facts were known, the jury gave Angela _____ by giving a verdict of not guilty.|80
abstruse|hard to comprehend|Everyone else in the class understood geometry easily, but John found the subject _____.|80
accede|to agree|When the class asked the teacher whether they could play baseball instead of learn grammar they expected him to refuse, but instead he decided to _____ to their request.|80
accolade|high praise, special distinction|Everyone offered a special _____ to Sam after he won the Nobel Prize.|80
accretion|slow growth in size or amount|Stalactites are formed by the _____ of minerals from the roofs of caves.|80
acerbic|biting, bitter in tone or taste|Jill became extremely _____ and began to cruelly make fun of all her friends.|80
acquiesce|to agree without protesting|Though Mr. Correlli wanted to stay outside and work in his garage, when his wife told him that he had better come in to dinner, he decided to _____ to her demands.|81
acrimony|bitterness, discord|Though they vowed that no girl would ever come between them, Biff and Trevor could not keep _____ from overwhelming their friendship after they both fell in love with the lovely Teresa.|81
acumen|keen insight|Because of his mathematical _____, Larry was able to figure out in minutes problems that took other students hours.|81
adroit|skillful, dexterous|The _____ thief could pick someone's pocket without attracting notice.|81
adulation|extreme praise|Though the book was pretty good, Marcy did not believe it deserved the _____ it received.|81
adumbrate|to sketch out in a vague way|The coach decided to _____ a game plan, but none of the players knew precisely what to do.|81
aggrandize|to increase or make greater|Joseph always dropped the names of the famous people his father knew as a way to _____ his personal stature.|81
agnostic|believing that the existence of God cannot be proven or disproven|Joey's parents are very religious, but he is _____.|81
alacrity|liveliness and eagerness|Robbie obeyed with _____ for somehow there was that in him which judged it best to obey Mrs. Weston, without as much as a scrap of hesitation.|81
amalgamate|to bring together, unite|Because of his great charisma, the presidential candidate was able to _____ all democrats and republicans under his banner.|81
amorous|showing love, particularly sexual|Whenever Albert saw Mariah wear her slinky red dress, he began to feel quite _____.|82
amorphous|without definite shape or type|The effort was doomed from the start, because the reasons behind it were so _____ and hard to pin down.|82
analgesic|something that reduces pain|Put this _____ on the wound so that the poor man at least feels a little better.|82
anarchist|one who wants to eliminate all government|An _____, Carmine wanted to dissolve every government everywhere.|82
anathema|a cursed, detested person|I never want to see that murderer. He is an _____ to me.|82
anesthesia|loss of sensation|When the nerves in his spine were damaged, Mr. Hollins suffered _____ in his legs.|82
antediluvian|ancient|The _____ man still believed that Eisenhower was president of the United States and that hot dogs cost a nickel.|82
anthology|a selected collection of writings, songs, etc.|The new _____ of Bob Dylan songs contains all his greatest hits and a few songs that you might never have heard before.|82
antiseptic|clean, sterile|The _____ hospital was very bare, but its cleanliness helped to keep patients healthy.|82
antithesis|the absolute opposite|Your values, which hold war and violence in the highest esteem, are the _____ of my pacifist beliefs.|82
apocryphal|fictitious, false, wrong|Because I am standing before you, it seems obvious that the stories circulating about my demise were _____.|83
arable|suitable for growing crops|The farmer purchased a plot of _____ land on which he will grow corn and sprouts.|83
arbiter|one who can resolve a dispute, make a decision|The divorce court judge will serve as the _____ between the estranged husband and wife.|83
arbitrary|based on or subject to individual discretion or preference|It's not a penalty assessed by any code or standard of fairness; it's _____.|83
arbitration|the process or act of resolving a dispute|The employee sought official _____ when he could not resolve a disagreement with his supervisor.|83
arboreal|of or relating to trees|Leaves, roots, and bark are a few _____ traits.|83
archetypal|the most representative or typical example of something|Some believe George Washington, with his flowing white hair and commanding stature, was the _____ politician.|83
arrogate|to take without justification|The king decided to _____ the right to order executions to himself exclusively.|83
ascetic|practicing restraint as a means of self-discipline, usually religious|The priest lives an _____ life devoid of television, savory foods, and other pleasures.|83
aspersion|a curse, expression of ill-will|The rival politicians repeatedly chose to cast a verbal _____ on each others' integrity.|83
assiduous|marked by care and persistent effort|He kept _____ notebooks detailing the technical specifications of how film sets operate.|84
assuage|provide physical relief, as from pain|She applied the medication in an attempt to _____ a toothache, they wrote.|84
banal|repeated too often; overfamiliar through overuse|Now, however, it is so common as to be _____.|84
bard|a poet, often a singer as well|Shakespeare is often considered the greatest _____ in the history of the English language.|84
behemoth|something of tremendous power or size|The new aircraft carrier is a steel _____ that the Air Force has added to its fleet.|84
bilk|cheat, defraud|The lawyer discovered that this firm had managed to _____ several clients out of thousands of dollars.|84
blandish|to coax by using flattery|Rachel's assistant tried to _____ her into accepting the deal.|84
bourgeois|a middle-class person, capitalist|Many businessmen receive criticism for their _____ approach to life.|84
burnish|to polish, shine|His mother asked him to _____ the silverware before setting the table.|84
calumny|an attempt to spoil someone else's reputation by spreading lies|The local official's _____ ended up ruining his opponent's prospect of winning the election.|84
capacious|very spacious|The workers delighted in their new _____ office space.|85
capitulate|surrender under agreed conditions|The rest of Europe was overrun and defeated, or they were forced to _____.|85
capricious|changeable|But because the gods were _____, you could not be sure what they would do.|85
carouse|to party, celebrate|We decided to _____ all night after getting married.|85
carp|to annoy, pester|The husband divorced his wife because she would constantly _____ about his habits for decades.|85
catalyze|to charge, inspire|The president's speech was able to _____ the nation and resuscitated the economy.|85
caucus|a meeting usually held by people working toward the same goal|The ironworkers held a _____ to determine how much of a pay increase they would request.|85
cavort|to leap about, behave boisterously|The adults ate their dinners on the patio, while the children decided to _____ around the pool.|85
cerebral|related to the intellect|The books we read in this class are too _____- they don't engage my emotions at all.|85
circuitous|deviating from a straight course|The _____ route from Baltimore to Annapolis, where they kept getting on and off the same road to stop at little huts by the road and let off passengers, took another hour and a half.|85
circumlocution|indirect and wordy language|The professor's habit of speaking in a verbose _____ made it difficult to follow his lectures.|86
circumscribed|marked off, bounded|The children were permitted to play tag only within a carefully _____ area of the lawn.|86
circumvent|avoid or try to avoid fulfilling, answering, or performing|Indeed, some taxpayers may be confused by the new information requirements, while others may find ways to _____ the rules.|86
clairvoyant|able to perceive things that normal people cannot|Zelda's uncanny ability to detect my lies was nothing short of _____.|86
cleave|to stick together firmly|After resolving their marital problems, Junior and Rosa decided to _____ to one another all the more tightly.|86
cloying|sickeningly sweet|Though Ronald was physically attractive, Maud found his constant compliments and solicitous remarks _____.|86
